,post,career,personal growth,education,healthcare,job ad
0,"Imagine this: You're an intelligent senior level leader in your company. But people think you're dumb.

Your feedback ratings are extremely poor.

Why?

Because you use handwritten letters (delivered by post) to communicate critical information with the whole company instead of using email.😱

You think that it's YOUR STYLE OF OPERATION and you're still conveying the message anyway!🤯

Do you think people will still enjoy working with you irrespective of how knowledgeable you are in your domain?

Oftentimes, When I work with senior professionals, I hear them say:

🚩""This is my style of working""

🚩""I've been doing this for years and I don't want to change this""

🚩""I'm the leader, my team should adjust""

🚩""I've done it this way far too long and it's difficult to change that now, so I'll not work on changing it. I'll double down on what I'm doing""

As senior professionals, you need to understand that the technology landscape is changing faster than ever!

You HAVE to keep up. It's no longer a choice, but a necessity❗️

Are you being like the guy with the letters instead of email because you refuse you change?📝

Then you've to know that you're replaceable at work.💼

Would YOU be willing to hire a senior leader who is living in a world that existed 15 years ago and refuses to change?

You know the answer. Then why be your own roadblock?

Want to navigate your roadblocks in job search? Connect with me or use the link in the comment. 🚀🚀

Get Hired by LinkedIn News India
LinkedIn
LinkedIn for Creators

#careers #leadership #humanresources #technology #team #nidhichauhan",1,0,0,0,0
1,"Discover your true career path with expert guidance. Unlock your potential, explore new possibilities, and chart a fulfilling course. Find clarity and direction.",1,0,0,0,0
2,"Unlock unlimited opportunities with Coursera Plus! Enjoy your first month for just $1 with this limited-time offer and get unlimited access to 7,000+ online courses from world-class universities and companies like Yale University, Google, Microsoft, and more—all in one subscription.

Join the 77% of surveyed learners on Coursera who have reported career benefits, including new jobs, promotions, and expanded skill sets.* Get started today! https://bit.ly/460Ipyi

* 2023 Coursera Learner Outcomes Report",1,0,0,0,0
3,"Paving a Better Path from Classroom to Career

#learning #experience #training #career #engineering",1,0,0,0,0
4,"I've coached 1000s of mid-senior and senior level professionals and here's what doesn't work for them:

🎯 Using job boards like Naukri, Foundit etc

📍 Adopting the usual interview approach

🧲 Paying recruitment agencies to land you interview calls

⛓️ Not being in control of your own job search

🔎 Thinking that having a LinkedIn profile is enough

💡 Thinking that X number of years of experience is enough to land you your next role

📚 Undermining the importance of a masters degree

When you're a mid-senior or senior level professional, the rules of the job search game change.

Your strategies have to change for you to keep up. 🎯

Are you looking for your next role with the salary you deserve, and want to move to that role quickly?

Connect with me or use the link in the comment to work 1:1 with me.🚀

New to me? Check the recommendations on my profile to see what clients have to say about me.👇

#LinkedIn #careers #jobseekers #jobsearch #careercoach #nidhichauhan",1,0,0,0,0
5,"Accelerate Your Career with DevOps Training! Let's Dive into the World of Possibilities!

#career #training #devops #devopsengineer",1,0,0,0,0
6,"𝗦𝘁𝘂𝗱𝘆 𝗜𝗻 𝗨𝗞 𝗜𝗻 𝗧𝗼𝗽 𝗨𝗻𝗶𝘃𝗲𝗿𝘀𝗶𝘁𝗲𝘀

Admission to Major Universities l Scholarships l Hostel Facilities l Visa Assistance

Your UK academic journey Begins NOW!

𝗕𝗼𝗼𝗸 𝗮 𝗙𝗥𝗘𝗘 𝗰𝗼𝗻𝘀𝘂𝗹𝘁𝗮𝘁𝗶𝗼𝗻 👇:-

https://lnkd.in/ewqMTx-K

(Only a few slots left )

Our expert consultants will explain the process of applying to a UK university and discuss your study and career goals.",1,0,0,0,0
7,"Yesterday, we had a guest session by Ankur Warikoo for my tiny homegrown cohort-based course, Summit 21.

Of course, I asked him knowing in my head he’ll say no.

Why would somebody who talks to major companies come to my cohort? Why would somebody so busy say yes to me?

When I asked him, there wasn’t a followed up discussion. 

He said yes in minutes :)

So we had a fun-filled call with 33 students from across India, the U.S., England, Ireland, Singapore, Canada, and France. 

They've been a part of one of my Summit 21 cohorts in the past 18 months that I’ve been running it.

We spoke about
• an offbeat career path as a parent (since most of my students have kids)
• how to distraction-proof yourself in today's world
• making a living by following your bliss
• writing online + ideation + process
• and so much more... :)

One of our attendees made five pages of notes! Imagine, a LinkedIn post and a few bullets can't do justice to an hour-long value-packed session.

My biggest takeaways were:
• having a partner who's in sync with you can change everything
• use money to make life more comfortable so you can focus
• we don't have as much to lose as we think we do
• what would you rather be, if not humble?
• it's important to live, you'll die anyway

But again, these points do absolutely zero justice to how entertaining and inspiring it was to just watch him talk.

Also - when you want something, ask for it. The worst answer is only no. But what if it’s a yes? I learnt this from my experience of mustering a few seconds of courage to send him that text asking him to be a part of this, haha.

Today, I'm sinking in the exceptional response I've got from my students but also looking back to think that Summit 21 has come a long way. 

What I started as a fun experiment to see if what I teach actually works, is running its eighth full cohort attracting a global audience. I still have the feeling of not knowing how long it'll last.

But instead of focusing on that, I'm just going to *live* and chill out, as Warikoo says :)",1,0,0,0,0
8,"During the starting of my career, I was consistently advised by my family and friends to 'network' well in the office.

And rightly so - networking can help you gain recognition at your workplace.

However, as an introvert, I often found it difficult to make small talks or network with my senior bosses/ colleagues.

But, I knew that I was a hard worker and my strong suit was research.

Hence, I decided to double down on that strength.

I would:
- do extensive research, 
- prepare exhaustive notes, and 
- add relevant pointers to project reports.

This helped me distinguish myself from my peers.

I eventually became the go-to person for any kind of project detailing and presentation. 

And, the senior bosses started noticing my efforts, and appreciated the value addition.

**********
This is what I learnt -

Networking is an important skill for getting noticed at the workplace, and progressing further in your career.

However, contrary to the popular opinion, networking can only get you so far.

The best way to earn recognition at work? - Be good at what you do.

Specifically, aim to become the expert or go-to person on the team when it comes to a particular task or issue.

Step up whenever a related need arises. 

Your boss and your coworkers will surely notice. And you wouldn't have to 'network' your way to the top.",1,0,0,0,0
9,"6 reasons why students must start Internships while studying: 

➡ Gain Realtime Insights.
➡ Navigate Interests.
➡ Sharpening Skills.
➡ Networking.
➡ A Rehearsal.
➡ Experience.

Don't wait for your career to begin after your studies, start early and build your desired career. 

#linkedintopvoices #licampustocareer #careercoach #careerdevelopmentcoaching #internships #students ",1,0,0,0,0
