,User ID,Sex,Age-group,Occupation,Company Name,City,Zipcode,Education,Specialization,Job,Career Development,Personal Growth,Educational Content,Healthcare
0,uid000001,F,40-45,marketing_manager,Foster LLC,East Deniseville,80910,MBA,Digital Marketing,0,0,0,0,1
1,uid000002,F,20-25,software_engineer,Young-Walker,Maloneside,88016,BE,Embedded Systems,1,0,1,1,0
2,uid000003,F,35-40,electrician,"Hernandez, Hawkins and Ballard",Gordonland,1246,ITI Electrician,Renewable Energy,1,1,1,1,0
3,uid000004,F,25-30,it_manager,Pratt-Wright,New Patricia,1568,BTech,Database Management,0,0,0,0,1
4,uid000005,M,20-25,nurse,Hale-Byrd,Raymondville,77038,Diploma,Nursing,1,1,0,1,0
5,uid000006,M,25-30,journalist,Henry-Hoover,North Jacqueline,21114,MA Journalism,Political Journalism,1,0,1,1,1
6,uid000007,M,20-25,student,"Perez, Perry and Graham",Moralesfurt,60262,BE,Mechanical Engineering,1,1,0,1,1
7,uid000008,M,25-30,lawyer,Jones PLC,West Robertland,31430,LLB,Healthcare Law,0,0,1,0,0
8,uid000009,F,25-30,research_assistant,Hunter Ltd,Port Amyton,24669,PhD,Biology,0,1,0,1,1
9,uid000010,F,30-35,research_assistant,Parker Group,Johnport,77762,MTech,Physics,1,1,0,1,0
10,uid000011,F,25-30,athlete,Morgan Group,Webbborough,30978,Sports Training,Sports Psychology,0,1,0,1,0
11,uid000012,F,35-40,product_manager,Owen-Bell,Jonesmouth,35731,MBA,Product Launch and Marketing,1,0,0,0,0
12,uid000013,M,30-35,marketing_manager,"Smith, Cole and West",Patriciamouth,83765,MBA,Marketing Strategy,0,1,0,0,0
13,uid000014,M,35-40,chef,Bell Ltd,Ryanberg,3381,Culinary School Diploma,Bakery and Pastry,0,0,1,0,1
14,uid000015,M,40-45,teacher,Leon-Cooper,South Philip,31367,MEd,Secondary Education,0,1,0,0,1
15,uid000016,M,30-35,student,"Torres, Wilson and Robinson",West Ericashire,53667,BTech,Biomedical Engineering,0,1,0,1,1
16,uid000017,F,20-25,data_analyst,"Clark, Cox and Leon",Wandaland,94742,MTech,Big Data Analytics,0,1,0,1,1
17,uid000018,M,20-25,entrepreneur,Tran-Smith,New Melanieberg,24694,MBA,Sales and Negotiation,1,1,0,0,0
18,uid000019,F,35-40,student,"Jones, Morgan and Durham",North Jonathan,92621,BE,Computer Science,1,0,0,1,1
19,uid000020,F,35-40,product_manager,"Harvey, Edwards and Johnston",North Michaelfort,14688,BBA,Product Roadmapping,1,0,0,0,1
20,uid000021,F,25-30,it_manager,"Ortega, Dickerson and Williams",Port David,65945,BE,Information Security,1,1,1,0,1
21,uid000022,F,30-35,psychologist,Ramsey-Peterson,Jonesport,81853,MA Psychology,Clinical Psychology,1,1,1,1,0
22,uid000023,M,35-40,student,Vasquez-Fernandez,Connermouth,49581,MTech,Information Technology,1,1,0,1,0
23,uid000024,F,25-30,data_analyst,Simpson-Watson,Fredericktown,19562,BE,Text Mining,1,0,0,1,0
24,uid000025,F,20-25,graphic_designer,Farley-Anderson,Schneiderton,4904,BFA,Packaging Design,1,1,1,0,1
25,uid000026,M,25-30,teacher,Richardson and Sons,Riverahaven,91669,MEd,Art Education,1,1,0,0,0
26,uid000027,F,35-40,athlete,Johnson PLC,West Sheila,40334,Sports Training,Sports Training,1,0,1,0,1
27,uid000028,M,40-45,nurse,"Lamb, Phillips and Harrison",Port Brendaburgh,86341,BSN,Healthcare,0,0,0,1,1
28,uid000029,F,30-35,entrepreneur,Jones-Dixon,New Lauraberg,69900,BBA,Strategy,1,1,0,0,0
29,uid000030,M,20-25,athlete,Foster-Barrera,Adammouth,48013,Sports Training,Sports Nutrition,1,1,1,1,1
30,uid000031,F,35-40,it_manager,Collins-Young,Martinchester,20658,BE,IT Governance,1,1,0,1,0
31,uid000032,M,30-35,research_assistant,"Copeland, Johnson and Wyatt",Lisatown,3228,MTech,Chemistry,1,0,0,0,0
32,uid000033,M,20-25,business_analyst,Allen-Reed,Lake Linda,44083,BBA,Requirements Gathering,0,1,0,1,0
33,uid000034,M,30-35,financial_analyst,"Blackburn, Lee and Parker",Sheltonberg,36964,BBA,Economic Research,0,0,0,0,1
34,uid000035,M,40-45,quality_assurance_analyst,Jones-Carrillo,Katieshire,89341,BE,Mobile App Testing,0,0,0,1,0
35,uid000036,F,40-45,graphic_designer,"Franklin, Allison and Hudson",Lake William,11268,BFA,Web Design,0,1,1,1,0
36,uid000037,M,35-40,psychologist,"Crawford, Meyer and Torres",Melissashire,37854,BA Psychology,Neuropsychology,0,1,1,1,1
37,uid000038,F,30-35,athlete,Olson LLC,Port Darren,76964,Sports Training,Sports Nutrition,0,0,1,0,0
38,uid000039,M,25-30,teacher,"Haley, Mack and Brown",Christopherburgh,70685,MEd,Special Education,0,0,0,0,0
39,uid000040,M,20-25,social_worker,Collins PLC,Davidshire,94218,BBA,Substance Abuse Counseling,0,0,1,1,0
40,uid000041,M,20-25,electrician,Fry LLC,North Curtis,46346,Diploma,Electrical Wiring,1,1,0,0,1
41,uid000042,F,25-30,quality_assurance_analyst,Gonzalez LLC,South Laurahaven,91892,MTech,Agile Testing,0,0,1,0,0
42,uid000043,F,25-30,athlete,"Davis, Espinoza and Gonzalez",Morganstad,58703,Sports Training,Sports Nutrition,0,1,1,1,1
43,uid000044,F,30-35,student,Miller PLC,Patriciastad,8714,BE,Mechanical Engineering,1,1,1,0,0
44,uid000045,F,35-40,architect,Barnett Ltd,Herreraberg,24948,BArch,Architecture,0,1,0,1,0
45,uid000046,M,20-25,product_manager,Rivera LLC,Jenniferburgh,9408,MBA,Product Launch and Marketing,1,1,0,1,0
46,uid000047,M,35-40,lawyer,Lopez Inc,Port Lisa,41015,JD,International Law,1,1,1,0,0
47,uid000048,F,40-45,quality_assurance_analyst,Sparks-Wilson,Gregoryshire,47095,MTech,Defect Tracking,1,0,1,0,0
48,uid000049,F,20-25,quality_assurance_analyst,Allen-Rosales,Port Jackieside,61252,BE,Web Application Testing,1,1,0,0,1
49,uid000050,M,30-35,athlete,"Drake, Norris and Brooks",Gloriaview,67315,Sports Training,Sports Nutrition,1,0,1,0,1
50,uid000051,M,40-45,research_assistant,Williams-Estes,Port Rachael,61059,PhD,Chemistry,0,0,0,1,0
51,uid000052,M,30-35,electrician,"Hernandez, Ball and Caldwell",New Melvin,35109,ITI Electrician,Electrical Wiring,0,0,1,1,1
52,uid000053,M,25-30,teacher,Davis LLC,East Chelseafort,75043,BEd,Music Education,1,0,0,0,1
53,uid000054,F,20-25,events_planner,Mooney Group,Jasonville,89115,Event Management Certification,Event Marketing,1,1,0,0,0
54,uid000055,F,35-40,mechanical_engineer,Vazquez LLC,South Joanna,39908,BE,Thermodynamics,1,1,1,0,0
55,uid000056,F,25-30,research_assistant,"Kaufman, Chavez and Taylor",Karenberg,20034,MTech,Chemistry,1,1,1,1,0
56,uid000057,F,35-40,journalist,Jackson-Baird,South Aprilville,28878,MA Journalism,Political Journalism,0,1,1,0,0
57,uid000058,M,35-40,quality_assurance_analyst,Fowler-Jones,Paulstad,19709,BTech,Web Application Testing,0,0,0,1,1
58,uid000059,F,25-30,quality_assurance_analyst,Parker Group,North Roberttown,2218,BE,Regression Testing,1,0,0,1,0
59,uid000060,F,25-30,marketing_manager,Lowery PLC,West Jennifer,73720,BBA,Product Management,1,1,1,0,0
60,uid000061,M,20-25,electrician,Miller Inc,Angelamouth,80061,ITI Electrician,Renewable Energy,0,1,0,0,1
61,uid000062,F,30-35,financial_analyst,Cruz-Thomas,Campbellburgh,78444,MBA,Derivatives Analysis,0,0,0,1,0
