,Title,Description,URL,Published At,Category,Image URL
0,"Share Market HIGHLIGHTS: Sensex ends 340 pts higher at 65,786, Nifty at 19,497; M&M, Apollo Hosp - Zee Business",Share Market Today LIVE: Indian equity benchmarks Nifty 50 and Sensex witnessed a quiet start to t,https://www.zeebiz.com/markets/stocks/live-updates-nifty-50-sensex-live-updates-july-6-indian-share-market-today-242931,2023-07-06T10:08:38Z,business,https://cdn.zeebiz.com/sites/default/files/2023/07/06/249852-dfd-1.jpg
1,BSE board approves share buyback up to ₹374.80 crore at ₹816 per share via tender offer | Mint - Mint,"The buyback will be done through a tender offer and the record date will be decided by the buyback committee, the company informed in a regulatory filing.",https://www.livemint.com/market/stock-market-news/bse-board-approves-share-buyback-up-to-rs-374-80-crore-at-rs-816-per-share-via-tender-offer-11688632322347.html,2023-07-06T08:34:53Z,business,https://www.livemint.com/lm-img/img/2023/07/06/600x338/8f7eab62-fdb8-11ea-8138-f17bb4c2909b_1604568952688_1604568974641_1688632428500.jpg
2,₹80 to ₹805: Multibagger NSE SME IPO gives 900% return to allottees in two years | Mint - Mint,"Multibagger IPO: NPST IPO listed at  ₹83.95 apiece on NSE SME exchange and has since risen to  ₹805 per share, resulting in a near 900% increase for long-term investors",https://www.livemint.com/market/stock-market-news/rs-80-to-rs-805-multibagger-nse-sme-ipo-gives-900-return-to-allottees-in-two-years-11688631474048.html,2023-07-06T08:32:44Z,business,https://www.livemint.com/lm-img/img/2023/07/06/600x338/Multibagger_stocks_stock_market_news_today_1688632015085_1688632015442.jpg
3,"RBI‘s circular on issuance of cards a win for customers, say experts - Moneycontrol",RBI in the draft circular said that card issuers shall issue cards across more than one card network and they should provide an option to the customers to choose any one among the multiple card networks.,https://www.moneycontrol.com/news/business/rbis-circular-on-issuance-of-cards-a-win-for-customers-say-experts-10915261.html,2023-07-06T08:19:35Z,business,https://images.moneycontrol.com/static-mcnews/2023/06/bank_cards_banking_financial-services2-770x433.jpg
4,"LIVE: Market Opening - July 06, 2023 | Business News Live | Share Market | Sensex & Nifty Trading - CNBC-TV18",,https://www.youtube.com/watch?v=fX1ZwNwYePQ,2023-07-06T07:55:32Z,business,
5,"Adani Green to raise Rs 12,300 crore via QIP to fund expansion - Economic Times","By selling shares through the QIP, Adani Green is looking to bring on board more institutional investors and attract more research analysts to cover the firm, according to a report by Bloomberg. Only one analyst currently tracks the company.",https://economictimes.indiatimes.com/markets/stocks/news/adani-green-weighs-raising-1-5-billion-to-fund-expansion-sources-say/articleshow/101538715.cms,2023-07-06T07:55:00Z,business,"https://img.etimg.com/thumb/msid-101538745,width-1070,height-580,imgsize-145376,overlay-etmarkets/photo.jpg"
6,Jefferies raises target price for Bajaj Finance after growth in loans - Moneycontrol,,https://www.moneycontrol.com/news/business/stocks/jefferies-raises-target-price-for-bajaj-finance-after-growth-in-loans-10914501.html,2023-07-06T07:47:10Z,business,https://images.moneycontrol.com/static-mcnews/2023/06/WhatsApp-Image-2023-06-05-at-5.44.33-PM-14-770x433.jpeg
7,Eicher Motors shares tank over 11% in 3 days. Should you buy or sell? - Economic Times,"In Thursday's trade, shares of Eicher Motors fell over 3% to Rs 3,207. Analysts stated that HD X440 would rival the likes of Royal Enfield's RE Classic 350 and Hunter 350. HD X440 costs 13% more than the Eicher Mototrs's RE Classic 350, while it also comes wi…",https://economictimes.indiatimes.com/markets/stocks/news/eicher-motors-shares-tank-over-11-in-3-days-should-you-buy-or-sell/articleshow/101536639.cms,2023-07-06T06:50:00Z,business,"https://img.etimg.com/thumb/msid-101538008,width-1070,height-580,imgsize-36756,overlay-etmarkets/photo.jpg"
8,"TCS to get 25,000 employees trained in Microsoft's Azure Open AI - Moneycontrol","It has also launched its Generative AI Enterprise Adoption offering, which uses a proprietary transformation framework to help clients with customer service, new business models and more.",https://www.moneycontrol.com/news/technology/tcs-to-get-25000-employees-trained-in-microsofts-azure-open-ai-10914261.html,2023-07-06T06:48:43Z,business,https://images.moneycontrol.com/static-mcnews/2023/07/800x-1-653x435.jpg
9,Instagram launches Twitter-like social networking app called Threads - SamMobile - Samsung news,Instagram has launched a new social networking app called Threads. It competes with Twitter and offers many of the same ...,https://www.sammobile.com/news/instagram-threads-launched-twitter-competitor/,2023-07-06T06:31:00Z,business,https://www.sammobile.com/wp-content/uploads/2023/07/Instagram-Threads-Features-720x405.jpg
